VM ID,Actual CPU,Length,Input Size,Output Size,End Time
4,0.11,67,12,545,0.21
8,0.11,16,212,496,0.21
19,0.11,108,611,74,0.21
14,0.22,161,671,118,0.32
20,0.22,199,102,45,0.32
21,0.22,139,100,256,0.32
2,0.33,273,201,524,0.43
3,0.33,312,515,652,0.43
6,0.33,284,290,516,0.43
12,0.33,222,358,134,0.43
13,0.33,234,551,422,0.43
16,0.33,229,402,491,0.43
18,0.33,307,467,72,0.43
11,0.44,403,572,361,0.54
14,0.22,139,529,393,0.54
16,0.11,17,698,568,0.54
23,0.44,354,607,673,0.54
0,0.55,482,126,537,0.65
11,0.11,69,214,416,0.65
15,0.55,488,106,460,0.65
23,0.11,96,244,25,0.65
0,0.11,60,48,240,0.76
1,0.66,630,670,675,0.76
2,0.33,262,529,387,0.76
3,0.33,298,206,251,0.76
7,0.66,613,306,403,0.76
9,0.66,592,312,23,0.76
14,0.22,204,242,453,0.76
2,0.11,20,417,481,0.87
6,0.44,391,418,715,0.87
9,0.11,69,493,516,0.87
16,0.33,226,654,308,0.87
17,0.77,674,389,609,0.87
5,0.88,819,366,59,0.98
7,0.22,150,180,389,0.98
10,0.88,843,640,150,0.98
15,0.33,252,50,4,0.98
17,0.11,75,282,386,0.98
18,0.55,522,151,68,0.98
20,0.66,616,728,79,0.98
0,0.33,265,642,37,1.09
4,0.88,791,566,606,1.09
8,0.88,867,381,89,1.09
19,0.88,845,414,733,1.09
22,0.99,986,176,203,1.09
24,0.99,918,437,336,1.09
1,0.44,334,130,345,1.2
5,0.22,145,635,28,1.2
12,0.77,704,627,673,1.2
13,0.77,679,299,646,1.2
20,0.22,205,163,569,1.2
21,0.88,800,68,88,1.2
10,0.33,257,741,18,1.31
12,0.11,71,133,552,1.31
23,0.66,639,148,686,1.31
0,0.33,242,335,609,1.42
2,0.55,519,400,73,1.42
5,0.22,133,573,628,1.42
9,0.55,521,475,46,1.42
11,0.77,765,323,277,1.42
14,0.66,563,10,327,1.42
16,0.55,527,652,471,1.42
11,0.11,76,640,545,1.53
17,0.55,524,200,366,1.53
0,0.22,176,26,260,1.64
2,0.22,211,361,567,1.64
3,0.88,803,247,371,1.64
6,0.77,670,425,462,1.64
8,0.55,442,541,464,1.64
10,0.33,230,422,538,1.64
0,0.11,105,113,12,1.75
4,0.66,655,249,447,1.75
5,0.33,262,281,19,1.75
7,0.77,753,626,621,1.75
16,0.33,290,579,618,1.75
19,0.66,587,173,481,1.75
21,0.55,474,79,610,1.75
1,0.66,561,275,315,1.86
6,0.22,139,333,366,1.86
11,0.33,305,80,44,1.86
12,0.55,499,49,631,1.86
13,0.66,656,650,674,1.86
14,0.44,336,32,468,1.86
16,0.11,71,159,601,1.86
18,0.88,804,377,533,1.86
20,0.66,653,280,658,1.86
22,0.77,770,220,66,1.86
23,0.55,543,328,427,1.86
24,0.77,753,703,153,1.86
0,0.22,201,735,151,1.97
3,0.33,312,607,67,1.97
6,0.11,72,19,449,1.97
15,0.99,967,518,589,1.97
18,0.11,99,108,40,1.97
19,0.22,199,377,307,1.97
1,0.22,136,663,248,2.08
2,0.44,411,606,231,2.08
21,0.33,291,567,713,2.08
4,0.44,386,221,439,2.19
8,0.55,449,409,416,2.19
20,0.33,292,592,520,2.19
7,0.55,532,29,463,2.3
9,0.88,857,649,89,2.3
10,0.66,560,734,28,2.3
13,0.44,336,499,694,2.3
14,0.44,360,675,558,2.3
18,0.33,282,35,86,2.3
21,0.22,119,692,506,2.3
22,0.44,362,473,256,2.3
5,0.66,557,699,169,2.41
18,0.11,68,262,642,2.41
24,0.55,480,598,146,2.41
11,0.66,584,13,275,2.52
17,0.99,948,617,108,2.52
6,0.66,554,407,102,2.63
16,0.77,760,253,458,2.63
17,0.11,67,28,406,2.63
20,0.44,412,376,485,2.63
22,0.33,236,7,678,2.63
24,0.22,157,22,356,2.63
0,0.77,718,683,514,2.74
2,0.66,659,130,695,2.74
8,0.55,494,242,263,2.74
12,0.88,854,200,498,2.74
15,0.88,788,85,636,2.85
23,0.99,943,510,633,2.85
2,0.22,178,188,514,2.96
4,0.77,680,152,170,2.96
11,0.44,409,276,86,2.96
18,0.55,461,15,195,2.96
19,0.99,929,117,638,2.96
1,0.99,896,366,658,3.07
3,1.1,994,269,496,3.07
5,0.66,560,319,356,3.07
7,0.77,679,313,371,3.07
8,0.33,293,649,115,3.07
10,0.77,678,712,550,3.07
21,0.77,696,395,6,3.07
23,0.22,201,727,396,3.07
8,0.11,66,157,183,3.18
13,0.88,849,386,512,3.18
14,0.88,836,653,740,3.18
17,0.55,480,546,320,3.18
6,0.66,594,233,744,3.29
8,0.11,29,485,474,3.29
9,0.99,953,133,433,3.29
10,0.22,209,432,294,3.29
24,0.66,624,653,534,3.29
19,0.45,448,747,249,3.4
10,0.23,200,204,665,3.51
12,0.78,716,36,97,3.51
20,0.89,838,221,191,3.51
22,0.89,848,350,628,3.51
1,0.56,449,425,588,3.62
5,0.56,511,622,22,3.62
10,0.11,66,97,495,3.62
16,1,914,19,402,3.62
18,0.67,658,240,399,3.62
19,0.22,155,535,259,3.62
23,0.56,454,626,243,3.62
24,0.34,298,6,401,3.62
0,1,922,614,58,3.73
3,0.67,586,1,473,3.73
11,0.78,756,176,515,3.73
14,0.56,556,541,542,3.73
15,0.89,843,352,161,3.73
21,0.67,623,283,650,3.73
9,0.56,497,305,50,3.84
10,0.22,130,517,599,3.84
12,0.33,225,746,470,3.84
14,0.11,46,628,308,3.84
17,0.67,623,207,227,3.84
20,0.33,240,404,218,3.84
2,1,939,715,120,3.95
4,1,921,706,76,3.95
7,0.89,831,515,681,3.95
8,0.67,617,622,358,3.95
15,0.22,144,691,146,3.95
20,0.11,68,122,634,3.95
23,0.33,298,430,101,3.95
13,0.89,813,1,378,4.06
6,0.89,889,634,494,4.17
5,0.66,575,332,316,4.28
6,0.11,44,477,673,4.28
10,0.44,391,290,625,4.28
16,0.66,630,395,59,4.28
18,0.66,621,15,623,4.28
2,0.44,332,736,691,4.39
4,0.44,374,521,742,4.39
9,0.55,468,62,343,4.39
11,0.66,578,139,698,4.39
21,0.66,614,23,321,4.39
22,0.88,801,279,346,4.39
12,0.66,573,400,203,4.5
14,0.66,645,186,522,4.5
19,0.88,812,124,420,4.5
1,0.99,929,60,598,4.61
10,0.33,297,394,316,4.61
24,0.99,913,225,521,4.61
0,0.99,894,732,585,4.72
14,0.22,194,53,444,4.72
17,0.88,825,333,339,4.72
21,0.33,279,71,731,4.72
23,0.77,700,263,34,4.72
3,1.1,992,622,27,4.83
7,0.88,848,108,477,4.83
8,0.88,779,548,739,4.83
9,0.44,394,156,62,4.83
11,0.44,342,17,334,4.83
16,0.55,490,287,657,4.83
20,0.88,829,260,740,4.83
22,0.44,378,134,362,4.83
5,0.66,642,538,245,4.94
13,0.88,797,76,329,4.94
15,0.99,898,628,15,4.94
17,0.22,173,583,187,4.94
2,0.66,656,189,42,5.05
3,0.22,217,443,408,5.05
23,0.33,259,245,416,5.05
7,0.33,228,174,311,5.16
12,0.66,567,13,257,5.16
18,0.88,819,641,204,5.16
1,0.66,600,547,720,5.27
4,0.88,827,741,523,5.27
6,0.99,966,156,689,5.27
14,0.55,449,408,239,5.27
16,0.44,438,575,507,5.27
20,0.44,356,461,412,5.27
23,0.22,195,16,673,5.27
3,0.33,255,70,42,5.38
4,0.11,55,386,725,5.38
19,0.88,837,489,548,5.38
0,0.77,688,522,454,5.49
2,0.44,381,588,593,5.49
10,0.88,788,144,509,5.49
21,0.77,706,352,428,5.49
24,0.88,848,502,616,5.49
3,0.22,124,241,514,5.6
8,0.77,710,145,630,5.6
11,0.77,688,499,85,5.6
17,0.66,587,589,258,5.6
22,0.77,762,95,225,5.6
8,0.11,8,554,739,5.71
13,0.77,733,675,429,5.71
15,0.77,760,91,285,5.71
22,0.11,86,632,601,5.71
1,0.55,512,493,495,5.82
6,0.55,464,266,442,5.82
9,0.99,889,734,311,5.82
11,0.22,159,673,468,5.82
15,0.11,15,643,460,5.82
16,0.55,490,152,44,5.82
20,0.55,483,534,484,5.82
21,0.33,330,53,275,5.82
23,0.55,513,390,645,5.82
